symbol,epic,type,expiry,marginFactor,minDealSize
"AMC","AMC","-","-","",""
"AMCAU","AMCAU","-","-","",""
"AMD","AMD","-","-","",""
"AME","AME","-","-","",""
"AMFR","AMFR","-","-","",""
"AMG","AMG","-","-","",""
"AMGN","AMGN","-","-","",""
"AMGNL","AMGNL","-","-","",""
"AMH","AMH","-","-","",""
"AMIAU","AMIAU","-","-","",""
"AML","AML","-","-","",""
"AMLK","AMLK","-","-","",""
"AMNX","AMNX","-","-","",""
"AMP","AMP","-","-","",""
"AMPAU","AMPAU","-","-","",""
"AMPI","AMPI","-","-","",""
"AMPX","AMPX","-","-","",""
"AMRAE","AMRAE","-","-","",""
"AMRQ","AMRQ","-","-","",""
"AMRZZ","AMRZZ","-","-","",""
"AMS1","AMS1","-","-","",""
"AMSC","AMSC","-","-","",""
"AMSU","AMSU","-","-","",""
"AMT","AMT","-","-","",""
"AMTD","AMTD","-","-","",""
"AMTX","AMTX","-","-","",""
"AMUN","AMUN","-","-","",""
"AMX","AMX","-","-","",""
"AMZN","AMZN","-","-","",""
"ANA","ANA","-","-","",""
"AN","AN","-","-","",""
"ANE","ANE","-","-","",""
"ANET","ANET","-","-","",""
"ANF","ANF","-","-","",""
"ANIC","ANIC","-","-","",""
"ANIMEUSD","ANIMEUSD","-","-","",""
"ANKRUSD","ANKRUSD","-","-","",""
"ANLOGUSD","ANLOGUSD","-","-","",""
"ANNAU","ANNAU","-","-","",""
"ANONUSD","ANONUSD","-","-","",""
"ANP","ANP","-","-","",""
"ANRO","ANRO","-","-","",""
"ANSY","ANSY","-","-","",""
"ANTA","ANTA","-","-","",""
"ANTO","ANTO","-","-","",""
"ANVS","ANVS","-","-","",""
"ANX","ANX","-","-","",""
"ANZAU","ANZAU","-","-","",""
"AO.","AO.","-","-","",""
"AOFD","AOFD","-","-","",""
"AOMGB","AOMGB","-","-","",""
"AON","AON","-","-","",""
"AOS","AOS","-","-","",""
"AOTI","AOTI","-","-","",""
"AOV","AOV","-","-","",""
"AP4SG","AP4SG","-","-","",""
"APA","APA","-","-","",""
"APAAU","APAAU","-","-","",""
"APAM.AS","APAM.AS","-","-","",""
"APAX","APAX","-","-","",""
"APD","APD","-","-","",""
"APEAU","APEAU","-","-","",""
"APEI","APEI","-","-","",""
"APEUSD","APEUSD","-","-","",""
"APEX","APEX","-","-","",""
"APH","APH","-","-","",""
"API3USD","API3USD","-","-","",""
"API","API","-","-","",""
"APLD","APLD","-","-","",""
"APLT","APLT","-","-","",""
"APNA","APNA","-","-","",""
"APP","APP","-","-","",""
"APPS","APPS","-","-","",""
"APTUSD","APTUSD","-","-","",""
"APUUSD","APUUSD","-","-","",""
"APXAU","APXAU","-","-","",""
"APZAU","APZAU","-","-","",""
"AQB","AQB","-","-","",""
"AQMS","AQMS","-","-","",""
"ARAI","ARAI","-","-","",""
"ARAMIP","ARAMIP","-","-","",""
"AR","AR","-","-","",""
